Marc Neveu - 23 April 2017
This file lists the quantities output by PHREEQC simulations in Outputs_xx_xx.txt.
Each line corresponds to a simulation whose input parameters (temperature, pressure, etc.) are given in the first few columns.
Each column corresponds to a physical or chemical quantity (solution, solid, and gas composition) according to the list below.

Column		Quantity

0		Temperature (celsius)
1		Pressure (bar)
2		W:R by mass
3		Log fO2=FMQ±…

Initial speciated solution

4		pe(FMQ) at pH that balances charge
5		pH that balances charge at pe(output #6) ≠ pH that balances charge at pe(output #7)
6		pe of speciated solution at pH that balances charge (output #5)
7		pe of speciated solution at pH 7 = input pe at pH 7
896	    Th(SO4)2
897	  d_Th(SO4)2
898	       Th2S3
899	     d_Th2S3
900	      Th7S12
901	    d_Th7S12
902	       ThCl4
903	     d_ThCl4
904	  Thenardite
905	d_Thenardite
906	Thermonatrite
907	d_Thermonatrite
908	  Thorianite
909	d_Thorianite
910	        ThS2
911	      d_ThS2
912	          Ti
913	        d_Ti
914	       Ti2O3
915	     d_Ti2O3
916	       Ti3O5
917	     d_Ti3O5
918	        TiB2
919	      d_TiB2
920	         TiC
921	       d_TiC
922	       TiCl2
923	     d_TiCl2
924	       TiCl3
925	     d_TiCl3
926	         TiN
927	       d_TiN
928	    Titanite
929	  d_Titanite
930	Tobermorite-11A
931	d_Tobermorite-11A
932	   Tremolite
933	 d_Tremolite
934	   Trevorite
935	 d_Trevorite
936	   Tridymite
937	 d_Tridymite
938	    Troilite
939	  d_Troilite
940	           U
941	         d_U
942	     U2O2Cl5
943	   d_U2O2Cl5
944	        U3S5
945	      d_U3S5
946	          UC
947	        d_UC
948	        UCl3
949	      d_UCl3
950	        UCl4
951	      d_UCl4
952	        UCl6
953	      d_UCl6
954	   UH3(beta)
955	 d_UH3(beta)
956	          UN
957	        d_UN
958	   UO2(NO3)2
959	 d_UO2(NO3)2
960	UO2(NO3)2:6H2O
961	d_UO2(NO3)2:6H2O
962	UO2(OH)2(beta)
963	d_UO2(OH)2(beta)
964	      UO2SO4
965	    d_UO2SO4
966	 UO2SO4:3H2O
967	d_UO2SO4:3H2O
968	   UO3(beta)
969	 d_UO3(beta)
970	   Uraninite
971	 d_Uraninite
972	     Vaesite
973	   d_Vaesite
974	   Wairakite
975	 d_Wairakite
976	Wollastonite
977	d_Wollastonite
978	    Wurtzite
979	  d_Wurtzite
980	     Wustite
981	   d_Wustite
982	   Xonotlite
983	 d_Xonotlite
984	     Zincite
985	   d_Zincite
986	          Zn
987	        d_Zn
988	Zn(NO3)2:6H2O
989	d_Zn(NO3)2:6H2O
990	Zn(OH)2(beta)
991	d_Zn(OH)2(beta)
992	Zn(OH)2(epsilon)
993	d_Zn(OH)2(epsilon)
994	     Zn2SiO4
995	   d_Zn2SiO4
996	       ZnCl2
997	     d_ZnCl2
998	     ZnCr2O4
999	   d_ZnCr2O4
1000	       ZnSO4
1001	     d_ZnSO4
1002	  ZnSO4:6H2O
1003	d_ZnSO4:6H2O
1004	     Zoisite
1005	   d_Zoisite
1006	    pressure
1007	   total mol
1008	      volume
1009	   g_C2H4(g)
1010	   g_C2H6(g)
1011	   g_C3H8(g)
1012	    g_CH4(g)
1013	     g_CO(g)
1014	    g_CO2(g)
1015	     g_H2(g)
1016	    g_H2O(g)
1017	    g_H2S(g)
1018	     g_N2(g)
1019	    g_NH3(g)
1020	     g_NO(g)
1021	    g_NO2(g)
1022	     g_O2(g)
1023	    g_SO2(g)
